"Applicant Name","Applicant House Number","Applicant Street Name","Applicant Address 2","Applicant City","Applicant State","Applicant Postcode","Applicant Phone","Project Name","Project Borough","New Construction/Rehabilitation","CRA Amount","Credit Year","CRA Date","Total Units","Total Tax Credit Units","Application Year","Applicant Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020) (from 2023)","Neighborhood Tabulation Area (NTA) (2020) (from 2023)"
"Aquinas Housing Corporation","1945","Vyse Aveue",,"Bronx","NY","10460","718-842-6440","Criscuolo Homes","Bronx","Rehabilitation","$675,000","2021","07/16/2021","106","89","2020","Bronx",,,,,,,,
"Metropolitan Real Estate Development LLC","170","Froehlich Farm Blvd",,"Woodbury","NY","11797","631-400-8175","TQN1003 1415 Mott Avenue","Queens","Rehabilitation","$900,000","2021","12/14/2020","42","40","2020","Woodbury",,,,,,,,
"NFW Marion LLC","420","Westbury Avenue",,"Carle Place","NY","11514","917-763-4247","Marion Creston Apartments","Bronx","New Construction","$694,546","2021","12/10/2020","43","43","2020","Carle Place",,,,,,,,
"JGV Management","1325","Southern Boulevard",,"Bronx","NY","10459","347-55-5481","1319-25 Southern Blvd","Bronx","New Construction","$891,857","2021","12/17/2021","31","27","2020","Bronx","40.831084","-73.891496","203","17","2010494","2029760098","123","Crotona Park East"
"The Finch Group","6111","Broken Sound Pkwy NW","Suite 340","Boca Raton","FL","33487","561-998-0700","Wakefield Grace UMC Complex","Bronx","New Construction","$1,315,026","2022","12/27/2021","73","72","2021","Boca Raton",,,,,,,,
"Comunilife Inc.","462","Seventh Avenue",,"New York","NY","10018","212-219-1618","Comunlife Throop","Brooklyn","New Construction","$1,568,494","2022","12/30/2021","93","92","2021","New York","40.751754","-73.990075","105","3","1014429","1007850037","109","Midtown-Midtown South"
"Rockabill / Goddard Riverside Comm Center","80","River Street","5E","Hoboken","NJ","7030","212-682-0497","Stephan Russo Residence","Manhattan","Rehabilitation","$1,373,580","2022","12/30/2021","69","68","2021","Hoboken",,,,,,,,
"Lantern Organization","42","West 39th Street","14th Fl","New York","NY","10018","917-449-5912","Euclid Glenmore","Brooklyn","New Construction","$2,507,544","2022","12/29/2021","135","134","2021","New York","40.752171","-73.983701","105","4","1016014","1008400071","84","Midtown-Midtown South"
"Infinite Horizons","784","Courtlandt Avenue",,"Bronx","NY","10451","646-739-0030","784 Courtlandt Manor","Bronx","New Construction","$702,000","2022","12/30/2021","20","20","2021","Bronx","40.822396","-73.916801","201","17","2000000","2024040001","69","Melrose South-Mott Haven North"
"RiseBoro and St. Nicks Alliance","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","Bushwick Alliance","Brooklyn","New Construction","$1,192,440","2022","12/28/2021","28","27","2021","Brooklyn","40.702153","-73.915751","304","37","3326375","3032910001","443","Bushwick North"
"RiseBoro Community Partnership","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","RiseBoro TPT Ten","Brooklyn","Rehabilitation","$1,859,685","2022","12/28/2021","62","61","2021","Brooklyn","40.702153","-73.915751","304","37","3326375","3032910001","443","Bushwick North"
"Settlement Housing Fund Inc","247","West 37th Street","4th Floor","New York","NY","10018","415-948-1678","Weeksville Place","Brooklyn","New Construction","$1,157,317","2022","12/30/2021","45","39","2021","New York","40.753475","-73.990594","105","3","1014454","1007870011","109","Midtown-Midtown South"
"CB Emmanuel Realty","221-10","Jamaica Avenue",,"Queens Village","NY","11428","646-813-1313","WHCO Portfolio","Manhattan","Rehabilitation","$2,346,000","2022","12/29/2021","102","93","2021","Queens Village","40.71974","-73.73296","413","27","4231223","4107890276","568","Queens Village"
"MBD Community Housing Corp","1789","Southern Boulevard",,"Bronx","NY","10460","347-226-2481","MBD New Heights Apts","Bronx","Rehabilitation","$1,563,354","2022","12/27/2021","70","68","2021","Bronx","40.837892","-73.887462","203","17","2009877","2029400038","155","Crotona Park East"
"WHHC Renaissance & Redevelopment LLC","122","West 144th Street","N/A","New York","NY","11436","(646)739-0030","West Harlem Renaissance I","Manhattan","Rehabilitation Only","$371,643","2023","12/26/2022","21","16","2022","Manhattan","40.820246","-73.937875","110","9",,,"232","MN1002"
"WHHC Renaissance & Redevelopment LLC","122","West 144th Street","N/A","New York","NY","11436","(646)739-0030","West Harlem Renaissance II","Manhattan","Rehabilitation Only","$534,643","2023","12/26/2022","30","23","2022","Manhattan","40.820246","-73.937875","110","9",,,"232","MN1002"
"WHHC Renaissance & Redevelopment LLC","122","West 144th Street","N/A","New York","NY","11436","(646)739-0030","West Harlem Renaissance III","Manhattan","Rehabilitation Only","$743,286","2023","12/26/2022","43","31","2022","Manhattan","40.820246","-73.937875","110","9",,,"232","MN1002"
"WHHC Renaissance & Redevelopment LLC","122","West 144th Street","N/A","New York","NY","11436","(646)739-0030","West Harlem Renaissance IV","Manhattan","Rehabilitation Only","$278,732","2023","12/26/2022","16","12","2022","Manhattan","40.820246","-73.937875","110","9",,,"232","MN1002"
"UBC Webster Avenue Owner LLC","334-336","East 110th Street","N/A","New York","NY","10029","(917)566-2736","3118 Webster Avenue","Bronx","New Construction","$1,978,000","2023","02/02/2023","109","86","2022","Manhattan","40.792786","-73.939638","111","8","1052844","1016810036","180","MN1102"
"Grant TPT LLC","1920","Anthony Avenue","1 Fl","Bronx","NY","10457","(347)386-6677","Grant TPT","Bronx","Acquisition & Rehabilitation","$1,094,400","2023","06/22/2023","99","90","2022","Bronx","40.849179","-73.903094","205","15","2007763","2028140006","381","BX0502"
"685 Nostrand LLC","170","Froehlich Farm Boulevard","N/A","Woodbury","NY","11797","(718)522-2613","TBK1005 685 Nostrand","Brooklyn","Rehabilitation Only","$377,088","2023","12/27/2022","23","17","2022",,,,,,,,,
"Fischer Senior Apartments L.P.","97","West 169th Street","N/A","Bronx","NY","10452","(212)721-6032","Fischer Senior Apartments","Bronx","New Construction","$2,392,000","2023","12/29/2022","105","104","2022","Bronx","40.839538","-73.923177","204","16",,,"211","BX0402"
"Dekalb Commons NY LLC","2","Kingsland Avenue","N/A","Brooklyn","NY","11211","(718)388-5454","Dekalb Commons","Brooklyn","New Construction","$1,932,000","2023","12/30/2022","85","84","2022","Brooklyn","40.715895","-73.940025","301","34","3389465","3028850010","44901","BK0104"
"Brisa Grace's Place Managers LLC","2009","Flatbush Avenue","N/A","New York","NY","11234","(413)883-6814","Grace's Place","Queens","New Construction","$1,863,000","2023","12/27/2022","82","81","2022","Manhattan",,,,,,,,
"Brownsville Crossing Owner LLC","111","John Street","Suite 1710","New York","NY","10038","(212)566-8805","Brownsville Crossing","Brooklyn","New Construction","$966,000","2023","12/27/2022","42","41","2022","Manhattan","40.707671","-74.005764","101","1","1001167","1000750030","1502","MN0101"
"WFHA Rockaway Holdings L.P.","43-55","11th Street","2nd Fl","Long Island City","NY","11101","(917)671-6752","WFHA Rockaway Holdings L.P.","Queens","Acquisition & Rehabilitation","$2,093,000","2023","12/21/2023","130","128","2023","Queens","40.750557","-73.948955","402","26","4005218","4004450013","1903","QN0201"
"Bushwick Alliance LLC","217","Wyckoff Avenue","N/A","Brooklyn","NY","11237","(718)366-3800","Bushwick Alliance LLC","Brooklyn","New Construction","$1,192,440","2023","04/12/2023","28","27","2021","Brooklyn","40.702153","-73.915751","304","37","3326375","3032910001","443","BK0401"
"Courtlandt Manor Views LLC","142-05","Rockaway Boulevard","N/A","Jamaica","NY","11436","(646)739-0030","784 Courtlant Manor","Bronx","New Construction","$702,000","2023","04/12/2023","20","20","2021","Queens","40.67413","-73.798715","412","28","4261279","4120360099","182","QN1203"
"TPT Morris LLC","1605","University Avenue","N/A","Bronx","NY","10453","(718)294-5840","University Morris Apartments","Bronx","Rehabilitation Only","$961,648","2023","12/06/2023","39","37","2022","Bronx","40.847076","-73.920313","205","14","2114454","2028780019","21501","BX0501"
"HELP Hinsdale C LLC","115","East 13th Street","N/A","New York","NY","10003","(646)300-1357","HELP ONE Building C","Brooklyn","New Construction","$2,219,449","2024","10/30/2023","79","78","2023","Manhattan","40.733331","-73.989385","103","2","1084305","1005590055","42","MN0303"
"Housing is a Human Right LLC","826","Broadway","11th Fl","New York","NY","10003","(212)710-6020","The Lirio","Manhattan","New Construction","$2,277,000","2024","09/20/2023","112","99","2023","Manhattan","40.733326","-73.991077","102","2","1009208","1005640034","61","MN0202"
"Odgen Housing Development Fund Company, Inc.","1974","Madison Avenue","Ground Fl","New York","NY","10035","(718)231-7711","Odgen Theatre Apartments","Bronx","New Construction","$1,932,000","2024","09/20/2023","85","84","2023","Manhattan","40.806617","-73.940019","111","9","1054088","1017510014","206","MN1102"
"MHANY Stella Heights HDFC","720","Vanderbilt Avenue","N/A","Brooklyn","NY","11238","(718)246-8080","Stella Heights","Manhattan","Acquistion & Rehabilitation","$1,274,050","2024","10/30/2023","83","83","2023","Brooklyn",,,,,,,,
"Stevenson B4 LLC","247","West 37th Street","4th Fl","New York","NY","10018","(716)200-6433","Stevenson B4","Bronx","New Construction","$2,520,361","2024","12/15/2023","117","116","2023","Manhattan","40.753475","-73.990594","105","3","1014454","1007870011","109","MN0502"
"TCB 2064 Grand Concourse Limited Partnership","185","Darmouth Street","9th Fl","Boston","MA","02116","(332)400-1959","The Louella","Bronx","New Construction","$1,832,000","2024","09/20/2023","85","84","2023",,,,,,,,,
"Las Raices East Harlem LLC","170","Froelich Farm Boulevard","N/A","Woodbury","NY","11797","(347)228-0871","Las Raices East Harlem","Manhattan","New Construction","$1,748,000","2024","09/20/2023","77","76","2023",,,,,,,,,
"864 BPS LLC","902","Allerton Avenue","N/A","Bronx","NY","10469","(718)944-4463","Bronx Park South","Bronx","New Construction","$1,886,000","2024","09/20/2023","82","81","2023","Bronx","40.865539","-73.861345","211","13","2051602","2044450036","324","BX1104"
"CH Cluster NCP Phase One LLC","8","West 126th","3rd Fl","New York","NY","10027","(917)338-9568","Central Harem Cluster NCP Phase I","Manhattan","New Construction","$646,000","2024","09/20/2023","34","34","2023","Manhattan",,,,,,,,
"50th Street Woodside Owner LLC","5925","Broadway","N/A","Bronx","NY","10463","718-884-7676","43-12 50th Street","Queens","New Construction","$746,245","2025","09/05/2024","55","38","2024","Bronx","40.888213","-73.8989","208","11","2084013","2057760539","285","BX0802"
"Brownsville Partnership, Inc.","519","Rockaway Avenue","N/A","Brooklyn","NY","11212","929-252-9286","372 Livonia Avenue","Brooklyn","New Construction","$1,863,000","2025","07/24/2024","82","81","2024","Brooklyn","40.667455","-73.910157","316","41","3000000","3035260002","906","BK1602"
"Fort Apache Residences LLC","111","Great Neck Road","N/A","Great Neck","NY","11021","516-216-5450","Dr. Izquierdo Gardens","Bronx","New Construction","$1,365,021","2025","08/21/2024","87","64","2024","Nassau County",,,,,,,,
"1806 Anthony Apartments LLC","201","East Burnside Avenue","N/A","Bronx","NY","10457","718-231-7711","1806 Anthony Ave","Bronx","New Construction","$2,530,000","2025","12/17/2024","111","110","2024","Bronx","40.852289","-73.903437","205","15","2013628","2031560001","23502","BX0502"
"New Destiny Housing Corporation","12","West 37th Street","N/A","New York","NY","10018","646-877-7644","1139 Webster Ave","Bronx","New Construction","$1,633,000","2025","08/21/2024","72","71","2024","Manhattan","40.750639","-73.983899","105","4","1015942","1008380058","84","MN0502"
"252 Victory Terrace Apartments","1328","New York Avenue","N/A","Huntington Station","NY","11746","917-514-4254","Victory Terrace Apartments","Staten Island","New Construction","$1,702,000","2025","02/24/2025","75","74","2024","Suffolk County",,,,,,,,
"TPT Long Marmion LLC","1605","University Avenue","N/A","New York","NY","10583","917-406-2660","Longfellow Marmion Apartments","Bronx","Rehab Only","$1,150,000","2025","08/21/2024","52","50","2024","Manhattan",,,,,,,,
"The Bridge, Inc.","290","Lenox Avenue","N/A","New York","NY","10027","646-612-0395","West 128th Street Apartments","Manhattan","New Construction","$2,093,000","2025","08/21/2024","92","91","2024","Manhattan","40.807457","-73.945704","110","9","1053487","1017220069","200","MN1001"
"Beech Set Melrose Owner LLC","247","West 37th Street","N/A","New York","NY","10018","917-471-4085","Melrose Concourse","Bronx","New Construction","$1,260,000","2025","08/08/2024","72","60","2024","Manhattan","40.753475","-73.990594","105","3","1014454","1007870011","109","MN0502"
"Sutter Place 2022 HDFC","470","Vanderbilt Avenue","N/A","Brooklyn","NY","11238","718-246-8080","Sutter Place","Brooklyn","New Construction","$1,679,000","2025","02/24/2025","73","73","2024","Brooklyn","40.683049","-73.967824","302","35","3335094","3020090001","199","BK0204"
"MHANY Mother Gaston HDFC","470","Vanderbilt Avenue","N/A","Brooklyn","NY","11238","718-246-8080","Mother Gaston TPT X combo","Brooklyn","Rehab Only","$2,346,000","2025","08/07/2024","104","102","2024","Brooklyn","40.683049","-73.967824","302","35","3335094","3020090001","199","BK0204"
